Title,Price,Date
"Samsung 990 Pro W/ Heatsink Ssd 2Tb Pcie 4.0 M.2 Internal Solid State Hard Drive, Fastest Speed For Gaming, Heat Control, Direct Storage And Memory Expansion, Compatible W/ Playstation5, Mz-V9P2T0Cw",$146.50,2023-09-23
"Samsung 990 Pro W/ Heatsink Ssd 2Tb Pcie 4.0 M.2 Internal Solid State Hard Drive, Fastest Speed For Gaming, Heat Control, Direct Storage And Memory Expansion, Compatible W/ Playstation5, Mz-V9P2T0Cw",$146.50,2023-09-23
